"TEAMS","Player","","KTPR","Matches","Att.","Flags","F/T","Kills","K/T","Deaths","D/T","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Class"
"BestBuds","Hopper","1","0.83","5","100%","51","18%","232","17%","272","16%","0.85","46.4","23.2","54.4","27.2","10.2","5.1","HEAVY"
"","Bromley","1","0.99","5","100%","54","19%","253","18%","272","16%","0.93","50.6","25.3","54.4","27.2","10.8","5.4","RIFLE"
"","TheWarWithin","1","0.81","5","100%","32","12%","255","19%","290","17%","0.88","51.0","25.5","58.0","29.0","6.4","3.2","SNIPER"
"","BigBird","1","0.43","5","100%","43","15%","193","14%","340","20%","0.57","38.6","19.3","68.0","34.0","8.6","4.3","3RD RIFLE"
"","The Godfodder","1","0.61","5","100%","40","14%","191","14%","248","15%","0.77","38.2","19.1","49.6","24.8","8.0","4.0","HEAVY"
"","chicagolegend","1","1.03","5","100%","58","21%","247","18%","252","15%","0.98","49.4","24.7","50.4","25.2","11.6","5.8","RIFLE"
"","TEAM'S FIGURES","","0.78","30","","278","","1,371","","1,674","","0.82","45.7","22.9","55.8","27.9","9.3","4.6","-"
"Clinic","Tomfoolery","1","1.31","5","100%","42","15%","271","20%","190","11%","1.43","54.2","27.1","38.0","19.0","8.4","4.2","RIFLE"
"","Candyman","1","1.12","5","100%","81","29%","267","19%","267","16%","1.00","53.4","26.7","53.4","26.7","16.2","8.1","3RD RIFLE"
"","Vic","1","1.35","5","100%","57","21%","290","21%","262","16%","1.11","58.0","29.0","52.4","26.2","11.4","5.7","HEAVY"
"","Shmaltz","1","1.34","5","100%","53","19%","285","21%","247","15%","1.15","57.0","28.5","49.4","24.7","10.6","5.3","HEAVY"
"","Allen","1","1.22","5","100%","60","22%","294","21%","293","18%","1.00","58.8","29.4","58.6","29.3","12.0","6.0","SNIPER"
"","Swave","1","1.27","5","100%","57","21%","297","22%","287","17%","1.03","59.4","29.7","57.4","28.7","11.4","5.7","RIFLE"
"","TEAM'S FIGURES","","1.27","30","","350","","1,704","","1,546","","1.10","56.8","28.4","51.5","25.8","11.7","5.8","-"
"dicE","stealthlol","1","1.55","5","100%","70","25%","333","24%","260","16%","1.28","66.6","33.3","52.0","26.0","14.0","7.0","SNIPER"
"","dyelife","1","1.30","5","100%","74","27%","290","21%","272","16%","1.07","58.0","29.0","54.4","27.2","14.8","7.4","RIFLE"
"","gorilla","1","1.36","5","100%","62","22%","293","21%","263","16%","1.11","58.6","29.3","52.6","26.3","12.4","6.2","HEAVY"
"","element","1","1.40","5","100%","55","20%","303","22%","268","16%","1.13","60.6","30.3","53.6","26.8","11.0","5.5","RIFLE"
"","warchyldd","1","0.87","5","100%","93","33%","236","17%","269","16%","0.88","47.2","23.6","53.8","26.9","18.6","9.3","3RD RIFLE"
"","k4b00m","1","1.12","5","100%","34","12%","260","19%","219","13%","1.19","52.0","26.0","43.8","21.9","6.8","3.4","HEAVY"
"","TEAM'S FIGURES","","1.27","30","","388","","1,715","","1,551","","1.11","57.2","28.6","51.7","25.9","12.9","6.5","-"
"Gskill","taylor","1","1.52","5","100%","80","29%","327","24%","263","16%","1.24","65.4","32.7","52.6","26.3","16.0","8.0","HEAVY"
"","milo","1","1.35","5","100%","71","26%","281","20%","214","13%","1.31","56.2","28.1","42.8","21.4","14.2","7.1","HEAVY"
"","gaul","1","1.34","5","100%","70","25%","297","22%","275","16%","1.08","59.4","29.7","55.0","27.5","14.0","7.0","RIFLE"
"","motiv","1","1.35","5","100%","63","23%","279","20%","207","12%","1.35","55.8","27.9","41.4","20.7","12.6","6.3","SNIPER"
"","greetz","1","1.48","5","100%","83","30%","319","23%","263","16%","1.21","63.8","31.9","52.6","26.3","16.6","8.3","RIFLE"
"","teamowner","1","1.46","5","100%","85","31%","305","22%","222","13%","1.37","61.0","30.5","44.4","22.2","17.0","8.5","3RD RIFLE"
"","TEAM'S FIGURES","","1.42","30","","452","","1,808","","1,444","","1.25","60.3","30.1","48.1","24.1","15.1","7.5","-"
"IcyHot","kanguhhh","1","1.24","5","100%","50","18%","259","19%","219","13%","1.18","51.8","25.9","43.8","21.9","10.0","5.0","HEAVY"
"","seanality","1","1.58","5","100%","87","31%","331","24%","222","13%","1.49","66.2","33.1","44.4","22.2","17.4","8.7","RIFLE"
"","sik","1","1.49","5","100%","59","21%","313","23%","229","14%","1.37","62.6","31.3","45.8","22.9","11.8","5.9","3RD RIFLE"
"","monday","1","1.28","5","100%","62","22%","270","20%","232","14%","1.16","54.0","27.0","46.4","23.2","12.4","6.2","HEAVY"
"","vertex","1","1.57","5","100%","57","21%","332","24%","234","14%","1.42","66.4","33.2","46.8","23.4","11.4","5.7","RIFLE"
"","hildebrand","1","1.39","5","100%","74","27%","286","21%","201","12%","1.42","57.2","28.6","40.2","20.1","14.8","7.4","SNIPER"
"","TEAM'S FIGURES","","1.43","30","","389","","1,791","","1,337","","1.34","59.7","29.9","44.6","22.3","13.0","6.5","-"
"LATE","Nein","1","0.48","5","100%","33","12%","200","15%","305","18%","0.66","40.0","20.0","61.0","30.5","6.6","3.3","HEAVY"
"","Savage","1","1.34","5","100%","51","18%","283","21%","240","14%","1.18","56.6","28.3","48.0","24.0","10.2","5.1","RIFLE"
"","Incite","1","0.86","5","100%","47","17%","259","19%","317","19%","0.82","51.8","25.9","63.4","31.7","9.4","4.7","HEAVY"
"","Miller","1","0.56","5","100%","79","28%","224","16%","351","21%","0.64","44.8","22.4","70.2","35.1","15.8","7.9","3RD RIFLE"
"","SirSnipeys","1","0.54","5","100%","46","17%","209","15%","327","20%","0.64","41.8","20.9","65.4","32.7","9.2","4.6","SNIPER"
"","Polak","1","0.70","5","100%","57","21%","230","17%","309","18%","0.74","46.0","23.0","61.8","30.9","11.4","5.7","RIFLE"
"","TEAM'S FIGURES","","0.74","30","","313","","1,405","","1,849","","0.76","46.8","23.4","61.6","30.8","10.4","5.2","-"
"leftovers","khoi","1","0.41","5","100%","56","20%","202","15%","383","23%","0.53","40.4","20.2","76.6","38.3","11.2","5.6","RIFLE"
"","HLAH","1","0.42","5","100%","58","21%","183","13%","323","19%","0.57","36.6","18.3","64.6","32.3","11.6","5.8","RIFLE"
"","hypnotik","1","0.71","5","100%","37","13%","214","16%","256","15%","0.84","42.8","21.4","51.2","25.6","7.4","3.7","SNIPER"
"","Epyon","1","0.64","5","100%","58","21%","210","15%","284","17%","0.74","42.0","21.0","56.8","28.4","11.6","5.8","LIGHT"
"","reptaR","1","0.56","5","100%","54","19%","246","18%","407","24%","0.60","49.2","24.6","81.4","40.7","10.8","5.4","RIFLE"
"","hey hi","1","0.70","5","100%","31","11%","266","19%","347","21%","0.77","53.2","26.6","69.4","34.7","6.2","3.1","HEAVY"
"","TEAM'S FIGURES","","0.57","30","","294","","1,321","","2,000","","0.66","44.0","22.0","66.7","33.3","9.8","4.9","-"
"Nogo","ddro","1","0.63","5","100%","77","28%","217","16%","305","18%","0.71","43.4","21.7","61.0","30.5","15.4","7.7","RIFLE"
"","matthew","1","0.44","5","100%","38","14%","192","14%","320","19%","0.60","38.4","19.2","64.0","32.0","7.6","3.8","RIFLE"
"","tEa","1","1.00","5","100%","24","9%","274","20%","250","15%","1.10","54.8","27.4","50.0","25.0","4.8","2.4","SNIPER"
"","twist","1","0.45","5","100%","37","13%","190","14%","303","18%","0.63","38.0","19.0","60.6","30.3","7.4","3.7","HEAVY"
"","Piff","1","0.95","5","100%","51","18%","261","19%","296","18%","0.88","52.2","26.1","59.2","29.6","10.2","5.1","LIGHT"
"","kroD","1","1.39","5","100%","70","25%","312","23%","289","17%","1.08","62.4","31.2","57.8","28.9","14.0","7.0","HEAVY"
"","TEAM'S FIGURES","","0.81","30","","297","","1,446","","1,763","","0.82","","","","","","","-"
"soul","stamp","1","0.93","5","100%","34","12%","255","19%","264","16%","0.97","51.0","25.5","52.8","26.4","6.8","3.4","HEAVY"
"","Black Hawk","1","0.76","5","100%","34","12%","219","16%","244","15%","0.90","43.8","21.9","48.8","24.4","6.8","3.4","HEAVY"
"","The Bear","1","1.27","5","100%","70","25%","269","20%","239","14%","1.13","53.8","26.9","47.8","23.9","14.0","7.0","RIFLE"
"","jacksonL","1","0.96","5","100%","48","17%","273","20%","314","19%","0.87","54.6","27.3","62.8","31.4","9.6","4.8","RIFLE"
"","3SidedQuarter","1","0.93","5","100%","57","21%","251","18%","283","17%","0.89","50.2","25.1","56.6","28.3","11.4","5.7","SNIPER"
"","shreddies","1","0.77","5","100%","89","32%","232","17%","290","17%","0.80","46.4","23.2","58.0","29.0","17.8","8.9","3RD RIFLE"
"","TEAM'S FIGURES","","0.94","30","","332","","1,499","","1,634","","0.92","50.0","25.0","54.5","27.2","11.1","5.5","-"
"Thunder","JaGGoN","1","1.32","5","100%","56","20%","267","19%","172","10%","1.55","53.4","26.7","34.4","17.2","11.2","5.6","SNIPER"
"","jules","1","1.33","5","100%","63","23%","277","20%","213","13%","1.30","55.4","27.7","42.6","21.3","12.6","6.3","HEAVY"
"","ryanemo","1","1.51","5","100%","42","15%","325","24%","246","15%","1.32","65.0","32.5","49.2","24.6","8.4","4.2","HEAVY"
"","dorito","1","1.56","5","100%","70","25%","332","24%","242","14%","1.37","66.4","33.2","48.4","24.2","14.0","7.0","RIFLE"
"","cK","1","1.40","5","100%","87","31%","308","22%","282","17%","1.09","61.6","30.8","56.4","28.2","17.4","8.7","RIFLE"
"","fusioN","1","0.52","5","100%","81","29%","176","13%","253","15%","0.70","35.2","17.6","50.6","25.3","16.2","8.1","3RD RIFLE"
"","TEAM'S FIGURES","","1.27","30","","399","","1,685","","1,408","","1.20","56.2","28.1","46.9","23.5","13.3","6.7","-"
"ukz","ProstaR","1","0.88","5","100%","58","21%","247","18%","286","17%","0.86","49.4","24.7","57.2","28.6","11.6","5.8","3RD RIFLE"
"","Cory","1","0.70","5","100%","73","26%","219","16%","285","17%","0.77","43.8","21.9","57.0","28.5","14.6","7.3","RIFLE"
"","mogers","1","1.08","5","100%","47","17%","263","19%","268","16%","0.98","52.6","26.3","53.6","26.8","9.4","4.7","HEAVY"
"","Riveroyster","1","1.40","5","100%","44","16%","313","23%","289","17%","1.08","62.6","31.3","57.8","28.9","8.8","4.4","RIFLE"
"","Nicholson","1","1.35","5","100%","42","15%","284","21%","207","12%","1.37","56.8","28.4","41.4","20.7","8.4","4.2","SNIPER"
"","eman","1","0.65","5","100%","67","24%","206","15%","275","16%","0.75","41.2","20.6","55.0","27.5","13.4","6.7","HEAVY"
"","TEAM'S FIGURES","","1.01","30","","331","","1,532","","1,610","","0.95","51.1","25.5","53.7","26.8","11.0","5.5","-"
