"TEAMS","Player","","KTPR","Matches","Att.","Flags","F/T","Kills","K/T","Deaths","D/T","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Class"
"BestBuds","Hopper","1","0.83","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Bromley","1","0.99","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","TheWarWithin","1","0.81","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","BigBird","1","0.43","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","The Godfodder","1","0.61","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","chicagolegend","1","1.03","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","TEAM'S FIGURES","","0.78","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"Clinic","Tomfoolery","1","1.31","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","Candyman","1","1.12","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","Vic","1","1.35","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Shmaltz","1","1.34","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Allen","1","1.22","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","Swave","1","1.27","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","TEAM'S FIGURES","","1.27","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"dicE","stealthlol","1","1.55","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","dyelife","1","1.30","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","gorilla","1","1.36","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","element","1","1.40","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","warchyldd","1","0.87","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","k4b00m","1","1.12","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","TEAM'S FIGURES","","1.27","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"Gskill","taylor","1","1.52","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","milo","1","1.35","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","gaul","1","1.34","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","motiv","1","1.35","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","greetz","1","1.48","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","teamowner","1","1.46","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","TEAM'S FIGURES","","1.42","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"IcyHot","kanguhhh","1","1.24","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","seanality","1","1.58","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","sik","1","1.49","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","monday","1","1.28","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","vertex","1","1.57","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","hildebrand","1","1.39","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","TEAM'S FIGURES","","1.43","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"LATE","Nein","1","0.48","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Savage","1","1.34","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","Incite","1","0.86","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Miller","1","0.56","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","SirSnipeys","1","0.54","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","Polak","1","0.70","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","TEAM'S FIGURES","","0.74","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"leftovers","sTarK","1","","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","HLAH","1","0.42","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
