"","Team & Players","Flags","Kills","Deaths","K/D","","VS","","Team & Players","Flags","Kills","Deaths","K/D","","","","","","","","","",""
"","Gskill","17","321","243","1.32","","","","dicE","15","239","327","0.73","","","@ lennon2","Player","","","","","KTPR",""
"","taylor","5","36","45","0.80","","","","stealthlol","3","56","53","1.06","","","","taylor","30","105","99","1.06","#REF!",""
"","milo","2","57","36","1.58","","","","dyelife","2","39","57","0.68","","","","milo","25","96","83","1.16","#REF!",""
"","gaul","0","58","44","1.32","","","","gorilla","3","32","58","0.55","","","","gaul","21","113","104","1.09","#REF!",""
"","motiv","1","48","30","1.60","","","","element","6","51","53","0.96","","","","motiv","28","101","73","1.38","#REF!",""
"","greetz","4","63","50","1.26","","","","warchyldd","1","29","61","0.48","","","","greetz","38","139","95","1.46","#REF!",""
"","teamowner","5","59","38","1.55","","","","k4b00m","0","32","45","0.71","","","","teamowner","39","107","86","1.24","#REF!",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","stealthlol","21","85","118","0.72","#REF!",""
"","Gskill","164","340","297","1.14","","","","dicE","108","291","353","0.82","","","@ thunder2","dyelife","19","87","118","0.74","#REF!",""
"","taylor","25","69","54","1.28","","","","stealthlol","18","29","65","0.45","","","","gorilla","17","86","114","0.75","#REF!",""
"","milo","23","39","47","0.83","","","","dyelife","17","48","61","0.79","","","","element","22","114","105","1.09","#REF!",""
"","gaul","21","55","60","0.92","","","","gorilla","14","54","56","0.96","","","","warchyldd","32","81","123","0.66","#REF!",""
"","motiv","27","53","43","1.23","","","","element","16","63","52","1.21","","","","k4b00m","12","77","102","0.75","#REF!",""
"","greetz","34","76","45","1.69","","","","warchyldd","31","52","62","0.84","","","","","","","","","",""
"","teamowner","34","48","48","1.00","","","","k4b00m","12","45","57","0.79","","","FINALS","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","MVP:","","","","","","",""
"","","","","","","","","","","","","","","","","xx Flags - xx Frags - xx Deaths - x.xx K/D","","","","","","",""
"","","","","","","","","","","","","","","","","(2/3 games)","","","","","","",""
