"  ","Team & Players","Flags","Kills","Deaths","K/D","","VS","","Team & Players","Flags","Kills","Deaths","K/D","","","","","",""
"","Gskill","49","347","304","1.14","","","","dicE","43","303","357","0.85","","","","","",""
"","taylor","8","61","53","1.15","","","","stealthlol","11","60","58","1.03","","","","","",""
"","milo","9","45","42","1.07","","","","dyelife","10","57","61","0.93","","","","","",""
"","gaul","8","66","55","1.20","","","","gorilla","8","55","54","1.02","","","","","",""
"","motiv","2","53","48","1.10","","","","element","6","40","65","0.62","","","","","",""
"","greetz","12","61","58","1.05","","","","warchyldd","6","40","69","0.58","","","","","",""
"","teamowner","10","61","48","1.27","","","","k4b00m","2","51","50","1.02","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","IcyHot","35","349","277","1.26","","","","Clinic","21","275","360","0.76","","","","","",""
"","kanguhhh","6","50","46","1.09","","","","Tomfoolery","4","49","47","1.04","","ROUND 1","","","",""
"","seanality","10","58","47","1.23","","","","Candyman","2","39","66","0.59","","","","","",""
"","sik","2","62","50","1.24","","","","Vic","4","37","63","0.59","","","","","",""
"","monday","3","49","49","1.00","","","","Shmaltz","4","46","56","0.82","","","","","",""
"","vertex","8","63","48","1.31","","","","Allen","4","49","65","0.75","","","","","",""
"","hildebrand","6","67","37","1.81","","","","Swave","3","55","63","0.87","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Thunder","55","300","280","1.07","","","","uKz","38","280","306","0.92","","","MVP:","???","",""
"","JaGGoN","7","47","37","1.27","","","","ProstaR","9","44","57","0.77","","","xx Flags - xx Frags - xx Deaths - x.xx K/D","","",""
"","jules","12","67","39","1.72","","","","Cory","6","45","54","0.83","","","","","",""
"","ryanemo","2","57","49","1.16","","","","mogers","6","43","49","0.88","","","","","",""
"","dorito","11","47","49","0.96","","","","Riveroyster","6","56","58","0.97","","","","","",""
"","cK","8","52","55","0.95","","","","Nicholson","3","61","37","1.65","","","","","",""
"","fusioN","15","30","51","0.59","","","","eman","8","31","51","0.61","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","soul","60","291","246","1.18","","","","BestBuds","53","257","300","0.86","","","","","",""
"","stamp","5","53","44","1.20","","","","Hopper","10","36","42","0.86","","","","","",""
"","Black Hawk","2","43","39","1.10","","","","Bromley","12","49","53","0.92","","","","","",""
"","The Bear","16","44","33","1.33","","","","TheWarWithin","10","50","53","0.94","","","","","",""
"","jacksonL","10","50","48","1.04","","","","BigBird","6","37","65","0.57","","","","","",""
"","3SidedQuarter","14","50","38","1.32","","","","The Godfodder","5","35","41","0.85","","","","","",""
"","shreddies","13","51","44","1.16","","","","chicagolegend","10","50","46","1.09","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","NoGo","71","360","306","1.18","","","","Leftovers","51","280","376","0.74","","","","","",""
"","ddro","17","55","55","1.00","","","","Khoi","11","37","70","0.53","","","","","",""
"","matthew","15","45","55","0.82","","","","HLAH","15","38","60","0.63","","","","","",""
"","tEa","6","62","41","1.51","","","","hypnotik","5","54","47","1.15","","","","","",""
"","twist","4","48","47","1.02","","","","Epyon","8","52","54","0.96","","","","","",""
"","Piff","12","65","54","1.20","","","","reptaR","5","43","78","0.55","","","","","",""
"","kroD","17","85","54","1.57","","","","hey hi","7","56","67","0.84","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","#under","50","343","290","1.18","","","","LATE","48","279","353","0.79","","","","","",""
"","chi","11","57","50","1.14","","","","Nein","5","35","51","0.69","","","","","",""
"","tilljim","6","44","46","0.96","","","","Savage","11","62","43","1.44","","","","","",""
"","devin","6","53","54","0.98","","","","Incite","7","57","65","0.88","","","","","",""
"","patten","4","65","35","1.86","","","","Miller","6","38","73","0.52","","","","","",""
"","baronn","10","39","60","0.65","","","","SirSnipeys","10","45","55","0.82","","","","","",""
"","paintball","13","85","45","1.89","","","","Polak","9","42","66","0.64","","","","","",""
