"  ","Team & Players","Flags","Kills","Deaths","K/D","","VS","","Team & Players","Flags","Kills","Deaths","K/D","","","","","",""
"","Gskill","54","365","273","1.34","","","","uKz","33","269","378","0.71","","","","","",""
"","taylor","10","64","49","1.31","","","","ProstaR","5","47","63","0.75","","","","","",""
"","milo","8","66","41","1.61","","","","Cory","5","33","67","0.49","","","","","",""
"","gaul","13","54","49","1.10","","","","mogers","6","47","66","0.71","","","","","",""
"","motiv","4","52","37","1.41","","","","Riveroyster","6","60","71","0.85","","","","","",""
"","greetz","10","68","52","1.31","","","","Nicholson","2","44","47","0.94","","","","","",""
"","teamowner","9","61","45","1.36","","","","eman","9","38","64","0.59","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","IcyHot","41","362","256","1.41","","","","soul","25","250","369","0.68","","","","","",""
"","kanguhhh","6","55","43","1.28","","","","stamp","1","36","59","0.61","","ROUND 2","","","",""
"","seanality","9","78","42","1.86","","","","Black Hawk","3","27","54","0.50","","","","","",""
"","sik","7","44","44","1.00","","","","The Bear","6","49","57","0.86","","","","","",""
"","monday","4","61","45","1.36","","","","jacksonL","8","61","68","0.90","","","","","",""
"","vertex","6","73","41","1.78","","","","3SidedQuarter","2","44","61","0.72","","","","","",""
"","hildebrand","9","51","41","1.24","","","","shreddies","5","33","70","0.47","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Thunder","55","366","237","1.54","","","","NoGo","36","240","375","0.64","","","MVP:","???","",""
"","JaGGoN","7","51","28","1.82","","","","ddro","9","37","61","0.61","","","xx Flags - xx Frags - xx Deaths - x.xx K/D","","",""
"","jules","12","51","35","1.46","","","","matthew","4","25","67","0.37","","","","","",""
"","ryanemo","5","69","42","1.64","","","","tEa","1","50","45","1.11","","","","","",""
"","dorito","12","85","40","2.13","","","","twist","8","39","67","0.58","","","","","",""
"","cK","10","77","48","1.60","","","","Piff","4","43","71","0.61","","","","","",""
"","fusioN","9","33","44","0.75","","","","kroD","10","46","64","0.72","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","#under","41","347","256","1.36","","","","BestBuds","28","249","325","0.77","","","","","",""
"","chi","9","71","46","1.54","","","","Hopper","6","45","51","0.88","","","","","",""
"","tilljim","6","55","34","1.62","","","","Bromley","5","37","53","0.70","","","","","",""
"","devin","13","60","48","1.25","","","","TheWarWithin","3","53","54","0.98","","","","","",""
"","patten","0","47","34","1.38","","","","BigBird","5","32","79","0.41","","","","","",""
"","baronn","9","49","49","1.00","","","","The Godfodder","3","30","56","0.54","","","","","",""
"","paintball","4","65","45","1.44","","","","chicagolegend","6","52","32","1.63","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","dicE","49","406","286","1.42","","","","Leftovers","24","243","417","0.58","","","","","",""
"","stealthlol","4","95","63","1.51","","","","Khoi","4","32","74","0.43","","","","","",""
"","dyelife","9","72","45","1.60","","","","HLAH","8","42","73","0.58","","","","","",""
"","gorilla","14","73","47","1.55","","","","hypnotik","2","40","56","0.71","","","","","",""
"","element","5","61","46","1.33","","","","Epyon","4","33","60","0.55","","","","","",""
"","warchyldd","11","55","49","1.12","","","","reptaR","3","38","87","0.44","","","","","",""
"","k4b00m","6","50","36","1.39","","","","hey hi","3","58","67","0.87","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Clinic","60","398","254","1.57","","","","LATE","32","244","407","0.60","","","","","",""
"","Tomfoolery","5","60","29","2.07","","","","Nein","1","43","66","0.65","","","","","",""
"","Candyman","6","74","43","1.72","","","","Savage","9","50","52","0.96","","","","","",""
"","Vic","7","77","43","1.79","","","","Incite","4","44","75","0.59","","","","","",""
"","Shmaltz","13","64","39","1.64","","","","Miller","8","36","74","0.49","","","","","",""
"","Allen","17","65","48","1.35","","","","SirSnipeys","4","37","69","0.54","","","","","",""
"","Swave","12","58","52","1.12","","","","Polak","6","34","71","0.48","","","","","",""
