"  ","Team & Players","Flags","Kills","Deaths","K/D","","VS","","Team & Players","Flags","Kills","Deaths","K/D","","","","","",""
"","Gskill","138","369","292","1.26","","","","NoGo","66","282","374","0.75","","","","","",""
"","taylor","28","77","52","1.48","","","","ddro","15","44","66","0.67","","","","","",""
"","milo","24","64","45","1.42","","","","matthew","4","50","63","0.79","","","","","",""
"","gaul","17","55","55","1.00","","","","tEa","10","48","58","0.83","","","","","",""
"","motiv","27","56","42","1.33","","","","twist","10","29","70","0.41","","","","","",""
"","greetz","25","47","53","0.89","","","","Piff","11","55","51","1.08","","","","","",""
"","teamowner","17","70","45","1.56","","","","kroD","16","56","66","0.85","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Clinic","122","344","285","1.21","","","","BestBuds","94","282","354","0.80","","","","","",""
"","Tomfoolery","22","63","29","2.17","","","","Hopper","13","49","54","0.91","","ROUND 3","","","",""
"","Candyman","28","55","48","1.15","","","","Bromley","24","54","59","0.92","","","","","",""
"","Vic","22","53","52","1.02","","","","TheWarWithin","9","43","59","0.73","","","","","",""
"","Shmaltz","17","60","41","1.46","","","","BigBird","13","44","70","0.63","","","","","",""
"","Allen","20","52","58","0.90","","","","The Godfodder","16","43","59","0.73","","","","","",""
"","Swave","13","61","57","1.07","","","","chicagolegend","19","49","53","0.92","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Thunder","153","393","274","1.43","","","","Leftovers","73","258","395","0.65","","","MVP:","???","",""
"","JaGGoN","28","55","32","1.72","","","","Khoi","16","38","73","0.52","","","xx Flags - xx Frags - xx Deaths - x.xx K/D","","",""
"","jules","16","57","39","1.46","","","","HLAH","5","37","70","0.53","","","","","",""
"","ryanemo","13","84","44","1.91","","","","hypnotik","9","32","51","0.63","","","","","",""
"","dorito","29","75","49","1.53","","","","Epyon","14","41","56","0.73","","","","","",""
"","cK","38","82","57","1.44","","","","reptaR","19","63","76","0.83","","","","","",""
"","fusioN","29","40","53","0.75","","","","hey hi","10","47","69","0.68","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","#under","131","352","313","1.12","","","","soul","92","304","359","0.85","","","","","",""
"","chi","15","45","55","0.82","","","","stamp","11","52","62","0.84","","","","","",""
"","tilljim","27","52","48","1.08","","","","Black Hawk","8","55","51","1.08","","","","","",""
"","devin","18","72","60","1.20","","","","The Bear","16","60","52","1.15","","","","","",""
"","patten","22","47","41","1.15","","","","jacksonL","9","39","71","0.55","","","","","",""
"","baronn","34","54","54","1.00","","","","3SidedQuarter","25","47","62","0.76","","","","","",""
"","paintball","15","82","55","1.49","","","","shreddies","23","51","61","0.84","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","dicE","128","331","289","1.15","","","","uKz","87","277","340","0.81","","","","","",""
"","stealthlol","24","48","45","1.07","","","","ProstaR","13","43","62","0.69","","","","","",""
"","dyelife","30","36","53","0.68","","","","Cory","13","42","63","0.67","","","","","",""
"","gorilla","17","65","53","1.23","","","","mogers","14","53","56","0.95","","","","","",""
"","element","16","82","43","1.91","","","","Riveroyster","13","44","61","0.72","","","","","",""
"","warchyldd","28","36","50","0.72","","","","Nicholson","16","50","43","1.16","","","","","",""
"","k4b00m","13","64","45","1.42","","","","eman","18","45","55","0.82","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","IcyHot","176","395","256","1.54","","","","LATE","80","247","405","0.61","","","","","",""
"","kanguhhh","15","59","46","1.28","","","","Nein","7","35","70","0.50","","","","","",""
"","seanality","33","74","38","1.95","","","","Savage","11","44","56","0.79","","","","","",""
"","sik","31","84","48","1.75","","","","Incite","12","50","73","0.68","","","","","",""
"","monday","38","53","41","1.29","","","","Miller","21","46","70","0.66","","","","","",""
"","vertex","28","70","45","1.56","","","","SirSnipeys","17","24","72","0.33","","","","","",""
"","hildebrand","31","55","38","1.45","","","","Polak","12","48","64","0.75","","","","","",""
