"  ","Team & Players","Flags","Kills","Deaths","K/D","","VS","","Team & Players","Flags","Kills","Deaths","K/D","","","","","",""
"","Gskill","86","329","320","1.03","","","","Thunder","78","313","331","0.95","","","","","",""
"","taylor","13","55","59","0.93","","","","JaGGoN","6","63","38","1.66","","","","","",""
"","milo","10","51","48","1.06","","","","jules","12","45","56","0.80","","","","","",""
"","gaul","13","50","70","0.71","","","","ryanemo","13","62","61","1.02","","","","","",""
"","motiv","12","58","43","1.35","","","","dorito","9","57","54","1.06","","","","","",""
"","greetz","16","65","54","1.20","","","","cK","19","50","62","0.81","","","","","",""
"","teamowner","22","50","46","1.09","","","","fusioN","19","36","60","0.60","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","IcyHot","88","347","294","1.18","","","","#under","65","293","361","0.81","","","","","",""
"","kanguhhh","20","36","45","0.80","","","","chi","9","42","60","0.70","","ROUND 5","","","",""
"","seanality","29","61","48","1.27","","","","tilljim","10","60","55","1.09","","","","","",""
"","sik","7","63","51","1.24","","","","devin","10","41","65","0.63","","","","","",""
"","monday","9","58","48","1.21","","","","patten","1","47","49","0.96","","","","","",""
"","vertex","6","68","54","1.26","","","","baronn","24","56","63","0.89","","","","","",""
"","hildebrand","17","61","48","1.27","","","","paintball","11","47","69","0.68","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","dicE","109","392","302","1.30","","","","NoGo","65","283","397","0.71","","","MVP:","???","",""
"","stealthlol","22","83","47","1.77","","","","ddro","24","44","68","0.65","","","xx Flags - xx Frags - xx Deaths - x.xx K/D","","",""
"","dyelife","15","79","49","1.61","","","","matthew","9","39","83","0.47","","","","","",""
"","gorilla","14","55","56","0.98","","","","tEa","3","58","61","0.95","","","","","",""
"","element","18","64","55","1.16","","","","twist","8","33","64","0.52","","","","","",""
"","warchyldd","29","59","50","1.18","","","","Piff","6","46","73","0.63","","","","","",""
"","k4b00m","11","52","45","1.16","","","","kroD","15","63","48","1.31","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","Clinic","81","362","325","1.11","","","","soul","88","321","362","0.89","","","","","",""
"","Tomfoolery","4","49","45","1.09","","","","stamp","12","49","50","0.98","","","","","",""
"","Candyman","30","54","55","0.98","","","","Black Hawk","15","43","56","0.77","","","","","",""
"","Vic","13","68","49","1.39","","","","The Bear","12","62","52","1.19","","","","","",""
"","Shmaltz","13","58","58","1.00","","","","jacksonL","11","62","72","0.86","","","","","",""
"","Allen","8","64","64","1.00","","","","3SidedQuarter","6","59","65","0.91","","","","","",""
"","Swave","13","69","54","1.28","","","","shreddies","32","46","67","0.69","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","uKz","103","398","299","1.33","","","","Leftovers","83","290","409","0.71","","","","","",""
"","ProstaR","14","60","51","1.18","","","","Khoi","16","54","90","0.60","","","","","",""
"","Cory","31","62","49","1.27","","","","HLAH","17","38","63","0.60","","","","","",""
"","mogers","14","68","49","1.39","","","","hypnotik","14","45","52","0.87","","","","","",""
"","Riveroyster","12","90","50","1.80","","","","Epyon","20","49","53","0.92","","","","","",""
"","Nicholson","11","68","42","1.62","","","","reptaR","11","47","84","0.56","","","","","",""
"","eman","21","50","58","0.86","","","","hey hi","5","57","67","0.85","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","",""
"","BestBuds","78","333","345","0.97","","","","LATE","83","334","335","1.00","","","","","",""
"","Hopper","14","61","66","0.92","","","","Nein","11","36","57","0.63","","","","","",""
"","Bromley","10","58","56","1.04","","","","Savage","11","74","42","1.76","","","","","",""
"","TheWarWithin","9","64","58","1.10","","","","Incite","12","55","56","0.98","","","","","",""
"","BigBird","14","43","66","0.65","","","","Miller","26","53","66","0.80","","","","","",""
"","The Godfodder","15","42","44","0.95","","","","SirSnipeys","5","53","67","0.79","","","","","",""
"","chicagolegend","16","65","55","1.18","","","","Polak","18","63","47","1.34","","","","","",""
