"Players","","KTPRn","Matches","Att.","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Player Team","Class","","Team Name","KTPR","Matches","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half",""
"seanality","1","1.58","5","100%","87","331","222","1.49","66.2","33.1","44.4","22.2","17.4","8.7","IcyHot","RIFLE","","Clinic","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"vertex","1","1.57","5","100%","57","332","234","1.42","66.4","33.2","46.8","23.4","11.4","5.7","IcyHot","RIFLE","","dicE","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"dorito","1","1.56","5","100%","70","332","242","1.37","66.4","33.2","48.4","24.2","14.0","7.0","Thunder","RIFLE","","leftovers","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"stealthlol","1","1.55","5","100%","70","333","260","1.28","66.6","33.3","52.0","26.0","14.0","7.0","dicE","SNIPER","","IcyHot","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"taylor","1","1.52","5","100%","80","327","263","1.24","65.4","32.7","52.6","26.3","16.0","8.0","Gskill","HEAVY","","BestBuds","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"ryanemo","1","1.51","5","100%","42","325","246","1.32","65.0","32.5","49.2","24.6","8.4","4.2","Thunder","HEAVY","","Gskill","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"sik","1","1.49","5","100%","59","313","229","1.37","62.6","31.3","45.8","22.9","11.8","5.9","IcyHot","3RD RIFLE","","NoGo","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"greetz","1","1.48","5","100%","83","319","263","1.21","63.8","31.9","52.6","26.3","16.6","8.3","Gskill","RIFLE","","soul","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"paintball","1","1.48","5","100%","59","322","277","1.16","64.4","32.2","55.4","27.7","11.8","5.9","#under","RIFLE","","LATE","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"teamowner","1","1.46","5","100%","85","305","222","1.37","61.0","30.5","44.4","22.2","17.0","8.5","Gskill","3RD RIFLE","","Thunder","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"Riveroyster","1","1.40","5","100%","44","313","289","1.08","62.6","31.3","57.8","28.9","8.8","4.4","ukz","RIFLE","","#under","#VALUE!","#REF!","#N/A","#N/A","#N/A","-","-","-","-","-","-","-",""
"element","1","1.40","5","100%","55","303","268","1.13","60.6","30.3","53.6","26.8","11.0","5.5","dicE","RIFLE","","","","","","","","","","","","","","",""
"cK","1","1.40","5","100%","87","308","282","1.09","61.6","30.8","56.4","28.2","17.4","8.7","Thunder","RIFLE","","","","","","","","","","","","","","",""
"kroD","1","1.39","5","100%","70","312","289","1.08","62.4","31.2","57.8","28.9","14.0","7.0","NoGo","HEAVY","","","","","","","","","","","","","","",""
"hildebrand","1","1.39","5","100%","74","286","201","1.42","57.2","28.6","40.2","20.1","14.8","7.4","IcyHot","SNIPER","","","","","","","","","","","","","","",""
"gorilla","1","1.36","5","100%","62","293","263","1.11","58.6","29.3","52.6","26.3","12.4","6.2","dicE","HEAVY","","","","","","","","","","","","","","",""
"Nicholson","1","1.35","5","100%","42","284","207","1.37","56.8","28.4","41.4","20.7","8.4","4.2","ukz","SNIPER","","","","","","","","","","","","","","",""
"milo","1","1.35","5","100%","71","281","214","1.31","56.2","28.1","42.8","21.4","14.2","7.1","Gskill","HEAVY","","","","","","","","","","","","","","",""
"motiv","1","1.35","5","100%","63","279","207","1.35","55.8","27.9","41.4","20.7","12.6","6.3","Gskill","SNIPER","","","","","","","","","","","","","","",""
"Vic","1","1.35","5","100%","57","290","262","1.11","58.0","29.0","52.4","26.2","11.4","5.7","Clinic","HEAVY","","","","","","","","","","","","","","",""
"gaul","1","1.34","5","100%","70","297","275","1.08","59.4","29.7","55.0","27.5","14.0","7.0","Gskill","RIFLE","","","","","","","","","","","","","","",""
"Shmaltz","1","1.34","5","100%","53","285","247","1.15","57.0","28.5","49.4","24.7","10.6","5.3","Clinic","HEAVY","","","","","","","","","","","","","","",""
"Savage","1","1.34","5","100%","51","283","240","1.18","56.6","28.3","48.0","24.0","10.2","5.1","LATE","RIFLE","","","","","","","","","","","","","","",""
"jules","1","1.33","5","100%","63","277","213","1.30","55.4","27.7","42.6","21.3","12.6","6.3","Thunder","HEAVY","","","","","","","","","","","","","","",""
"JaGGoN","1","1.32","5","100%","56","267","172","1.55","53.4","26.7","34.4","17.2","11.2","5.6","Thunder","SNIPER","","","","","","","","","","","","","","",""
"Tomfoolery","1","1.31","5","100%","42","271","190","1.43","54.2","27.1","38.0","19.0","8.4","4.2","Clinic","RIFLE","","","","","","","","","","","","","","",""
"dyelife","1","1.30","5","100%","74","290","272","1.07","58.0","29.0","54.4","27.2","14.8","7.4","dicE","RIFLE","","","","","","","","","","","","","","",""
"monday","1","1.28","5","100%","62","270","232","1.16","54.0","27.0","46.4","23.2","12.4","6.2","IcyHot","HEAVY","","","","","","","","","","","","","","",""
"Swave","1","1.27","5","100%","57","297","287","1.03","59.4","29.7","57.4","28.7","11.4","5.7","Clinic","RIFLE","","*Stats from players that only played one half of a match aren't considered","","","","","","","","","","","","",""
"The Bear","1","1.27","5","100%","70","269","239","1.13","53.8","26.9","47.8","23.9","14.0","7.0","soul","RIFLE","","","","","","","","","","","","","","",""
"tilljim","1","1.25","5","100%","62","262","227","1.15","52.4","26.2","45.4","22.7","12.4","6.2","#under","3RD RIFLE","","","","","","","","","","","","","","",""
"kanguhhh","1","1.24","5","100%","50","259","219","1.18","51.8","25.9","43.8","21.9","10.0","5.0","IcyHot","HEAVY","","","","","","","","","","","","","","",""
"Allen","1","1.22","5","100%","60","294","293","1.00","58.8","29.4","58.6","29.3","12.0","6.0","Clinic","SNIPER","","","","","","","","","","","","","","",""
"devin","1","1.15","5","100%","51","283","289","0.98","56.6","28.3","57.8","28.9","10.2","5.1","#under","HEAVY","","","","","","","","","","","","","","",""
"patten","1","1.13","5","100%","32","267","206","1.30","53.4","26.7","41.2","20.6","6.4","3.2","#under","SNIPER","","","","","","","","","","","","","","",""
"Candyman","1","1.12","5","100%","81","267","267","1.00","53.4","26.7","53.4","26.7","16.2","8.1","Clinic","3RD RIFLE","","","","","","","","","","","","","","",""
"k4b00m","1","1.12","5","100%","34","260","219","1.19","52.0","26.0","43.8","21.9","6.8","3.4","dicE","HEAVY","","","","","","","","","","","","","","",""
"mogers","1","1.08","5","100%","47","263","268","0.98","52.6","26.3","53.6","26.8","9.4","4.7","ukz","HEAVY","","","","","","","","","","","","","","",""
"chi","1","1.05","5","100%","56","258","266","0.97","51.6","25.8","53.2","26.6","11.2","5.6","#under","RIFLE","","","","","","","","","","","","","","",""
"chicagolegend","1","1.03","5","100%","58","247","252","0.98","49.4","24.7","50.4","25.2","11.6","5.8","BestBuds","RIFLE","","","","","","","","","","","","","","",""
"tEa","1","1.00","5","100%","24","274","250","1.10","54.8","27.4","50.0","25.0","4.8","2.4","NoGo","SNIPER","","","","","","","","","","","","","","",""
