"Players","","KTPRn","Matches","Att.","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Player Team","Class","","Team Name","KTPR","Matches","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half",""
"","","","","","","","","","","","","","","","","","","BestBuds","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0",""
"","","","","","","","","","","","","","","","","","","Clinic","0.64","3","129","575","716","0.80","191.7","95.8","238.7","119.3","43.0","21.5",""
"","","","","","","","","","","","","","","","","","","dicE","0.97","7","484","2,097","2,119","0.99","299.6","149.8","302.7","151.4","69.1","34.6",""
"","","","","","","","","","","","","","","","","","","Gskill","1.09","6","534","1,939","1,671","1.16","323.2","161.6","278.5","139.3","89.0","44.5",""
"","","","","","","","","","","","","","","","","","","IcyHot","0.97","6","393","1,815","1,738","1.04","302.5","151.3","289.7","144.8","65.5","32.8",""
"","","","","","","","","","","","","","","","","","","leftovers","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0",""
"","","","","","","","","","","","","","","","","","","NoGo","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0",""
"","","","","","","","","","","","","","","","","","","soul","0.44","5","177","570","708","0.81","114.0","57.0","141.6","70.8","35.4","17.7",""
"","","","","","","","","","","","","","","","","","","Thunder","0.79","7","390","1,677","1,758","0.95","239.6","119.8","251.1","125.6","55.7","27.9",""
"","","","","","","","","","","","","","","","","","","ukz","0.45","4","93","530","704","0.75","132.5","66.3","176.0","88.0","23.3","11.6",""
"","","","","","","","","","","","","","","","","","","#under","0.93","3","233","825","849","0.97","275.0","137.5","283.0","141.5","77.7","38.8",""
"","","","","","","","","","","","","","","","","","","LATE","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0",""
"","","","PLAYERS     WITH     LESS     THAN     50%     ATTENDANCE (to be taken into account when playoffs end)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
