"Players","","KTPRn","Matches","Att.","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Player Team","Class","","Team Name","KTPR","Matches","Flags","Kills","Deaths","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half"
"greetz","1","1.55","6","86%","96","385","293","1.31","64.2","32.1","48.8","24.4","16.0","8.0","Gskill","RIFLE","","","","","","","","","","","","","",""
"kroD","1","1.50","1","14%","23","64","55","1.16","64.0","32.0","55.0","27.5","23.0","11.5","NoGo","HEAVY","","","","","","","","","","","","","",""
"element","1","1.43","7","100%","90","416","342","1.22","59.4","29.7","48.9","24.4","12.9","6.4","dicE","RIFLE","","ukz","0.45","4","93","530","704","0.75","132.5","66.3","176.0","88.0","23.3","11.6"
"Shmaltz","1","1.42","3","43%","44","176","142","1.24","58.7","29.3","47.3","23.7","14.7","7.3","Clinic","HEAVY","","Gskill","1.09","6","534","1,939","1,671","1.16","323.2","161.6","278.5","139.3","89.0","44.5"
"stealthlol","1","1.38","7","100%","81","399","330","1.21","57.0","28.5","47.1","23.6","11.6","5.8","dicE","SNIPER","","NoGo","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0"
"reptaR","1","1.38","1","14%","8","74","77","0.96","74.0","37.0","77.0","38.5","8.0","4.0","Leftovers","RIFLE","","","","","","","","","","","","","",""
"jules","1","1.34","7","100%","97","379","292","1.30","54.1","27.1","41.7","20.9","13.9","6.9","Thunder","HEAVY","","","","","","","","","","","","","",""
"vertex","1","1.33","6","86%","67","342","316","1.08","57.0","28.5","52.7","26.3","11.2","5.6","IcyHot","RIFLE","","","","","","","","","","","","","",""
"taylor","1","1.32","6","86%","95","329","297","1.11","54.8","27.4","49.5","24.8","15.8","7.9","Gskill","HEAVY","","","","","","","","","","","","","",""
"gaul","1","1.30","6","86%","75","343","324","1.06","57.2","28.6","54.0","27.0","12.5","6.3","Gskill","RIFLE","","","","","","","","","","","","","",""
"Savage","1","1.29","1","14%","6","56","40","1.40","56.0","28.0","40.0","20.0","6.0","3.0","LATE","RIFLE","","","","","","","","","","","","","",""
"jacksonL","1","1.29","3","43%","57","187","187","1.00","62.3","31.2","62.3","31.2","19.0","9.5","soul","RIFLE","","","","","","","","","","","","","",""
"motiv","1","1.27","6","86%","81","304","230","1.32","50.7","25.3","38.3","19.2","13.5","6.8","Gskill","SNIPER","","","","","","","","","","","","","",""
"monday","1","1.27","6","86%","57","312","272","1.15","52.0","26.0","45.3","22.7","9.5","4.8","IcyHot","HEAVY","","","","","","","","","","","","","",""
"ryanemo","1","1.25","7","100%","61","373","343","1.09","53.3","26.6","49.0","24.5","8.7","4.4","Thunder","HEAVY","","","","","","","","","","","","","",""
"seanality","1","1.24","6","86%","99","310","285","1.09","51.7","25.8","47.5","23.8","16.5","8.3","IcyHot","RIFLE","","","","","","","","","","","","","",""
"tEa","1","1.22","1","14%","5","59","53","1.11","59.0","29.5","53.0","26.5","5.0","2.5","NoGo","SNIPER","","","","","","","","","","","","","",""
"milo","1","1.21","6","86%","81","295","262","1.13","49.2","24.6","43.7","21.8","13.5","6.8","Gskill","HEAVY","","","","","","","","","","","","","",""
"Epyon","1","1.18","1","14%","13","54","53","1.02","54.0","27.0","53.0","26.5","13.0","6.5","Leftovers","LIGHT","","","","","","","","","","","","","",""
"dorito","1","1.17","7","100%","71","369","359","1.03","52.7","26.4","51.3","25.6","10.1","5.1","Thunder","RIFLE","","","","","","","","","","","","","",""
"ddro","1","1.17","1","14%","18","50","47","1.06","50.0","25.0","47.0","23.5","18.0","9.0","NoGo","RIFLE","","","","","","","","","","","","","",""
"Swave","1","1.16","3","43%","37","180","191","0.94","60.0","30.0","63.7","31.8","12.3","6.2","Clinic","RIFLE","","leftovers","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0"
"Tomfoolery","1","1.15","3","43%","24","138","121","1.14","46.0","23.0","40.3","20.2","8.0","4.0","Clinic","RIFLE","","BestBuds","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0"
"paintball","1","1.14","3","43%","32","163","166","0.98","54.3","27.2","55.3","27.7","10.7","5.3","#under","RIFLE","","","","","","","","","","","","","",""
"JaGGoN","1","1.13","7","100%","72","310","247","1.26","44.3","22.1","35.3","17.6","10.3","5.1","Thunder","SNIPER","","","","","","","","","","","","","",""
"teamowner","1","1.12","6","86%","106","283","265","1.07","47.2","23.6","44.2","22.1","17.7","8.8","Gskill","3RD RIFLE","","","","","","","","","","","","","",""
"patten","1","1.12","3","43%","33","130","96","1.35","43.3","21.7","32.0","16.0","11.0","5.5","#under","SNIPER","","","","","","","","","","","","","",""
"hypnotik","1","1.10","1","14%","7","54","55","0.98","54.0","27.0","55.0","27.5","7.0","3.5","Leftovers","SNIPER","","","","","","","","","","","","","",""
"hildebrand","1","1.09","6","86%","71","291","284","1.02","48.5","24.3","47.3","23.7","11.8","5.9","IcyHot","SNIPER","","","","","","","","","","","","","",""
"devin","1","1.07","3","43%","37","146","145","1.01","48.7","24.3","48.3","24.2","12.3","6.2","#under","HEAVY","","","","","","","","","","","","","",""
"stamp","1","1.05","3","43%","34","150","155","0.97","50.0","25.0","51.7","25.8","11.3","5.7","soul","HEAVY","","","","","","","","","","","","","",""
"k4b00m","1","1.05","7","100%","58","324","308","1.05","46.3","23.1","44.0","22.0","8.3","4.1","dicE","HEAVY","","LATE","","1","0","0","0","","0.0","0.0","0.0","0.0","0.0","0.0"
"Nicholson","1","1.00","3","43%","10","155","126","1.23","51.7","25.8","42.0","21.0","3.3","1.7","ukz","SNIPER","","","","","","","","","","","","","",""
"Piff","1","0.99","1","14%","16","55","63","0.87","55.0","27.5","63.0","31.5","16.0","8.0","NoGo","LIGHT","","","","","","","","","","","","","",""
