"","REGULAR SEASON AWARDS
Players must have played at least 66% of the matches to be elegible (there might be 1 or 2 meaningful exceptions)","","","","","","","","","","","","","",""
"","INDIVIDUAL STATS ACHIEVEMENTS","","","","","COLLECTIVE STATS ACHIEVEMENTS","","","","","GENERAL AWARDS","","","",""
"","LOWER","","UPPER","","","LOWER","","UPPER","","","LOWER","","UPPER","",""
"","SEASON MVP","","","","","BEST REGULAR SEASON TEAM","","","","","BEST MANAGERS (AKA THE BLACKHAWK AWARD)","","","",""
"","THE FLAGGERS (first on average and then in total)","","","","","THE FLAGGERS","","","","","BEST LATE ADDITIONS (AKA THE DILLIARD AWARD)","","","",""
"","","","","","","THE FRAGGERS","","","","","BEST ROOKIES (AKA THE ASANI AWARD)","","","",""
"","THE FRAGGERS (first on average and then in total)","","","","","","","","","","","","","",""
"","","","","","","PERFECT ATTENDANCE (6 players that played all matches)","","","","","MOST IMPROVED PLAYERS (AKA THE HE'S-A-CHEATER-NOW AWARD)","","","",""
"","MOST FLAGS IN A SINGLE GAME","","","","","MOST FLAGS IN A SINGLE GAME","","","","","SOME RANDOM YET GLORIOUS AWARDS","","","",""
"","","","","","","","","","","","SANDBAGGING LIKE A BOSS (AKA THE MILO AWARD)","","","",""
"","MOST KILLS IN A SINGLE GAME","","","","","MOST KILLS IN A SINGLE GAME","","","","","","","","",""
"","","","","","","","","","","","CARRY US, DADDY! (AKA THE PDX AWARD)","","","",""
"","HIGHEST K/D IN A SINGLE GAME","","","","","HIGHEST TEAM K/D IN A SINGLE GAME","","","","","","","","",""
"","","","","","","","","","","","FLAGS ARE MY LIFE (AKA THE CALEBSOD AWARD)","","","",""
"","BEST 6 BY CLASSES (KTPR)","","","","","MOST OUTSTANDING PERFORMANCE ON A LOSING TEAM","","","","","","","","",""
"","","SNIPER","","","","","","","","","CUT THE FRAGGING AND START FLAGGING!","","","",""
"","","3RD/LIGHT/UTILITY","","","","MOST PLAYERS USED THROUGHOUT THE SEASON","","","","","","","","",""
"","","HEAVY #1","","","","","","","","","STOP DYING, BRO! (AKA THE CK AWARD)","","","",""
"","","HEAVY #2","","","","","","","","","","","","",""
"","","RIFLE #1","","","","","","","","","YOU EVEN HAVE A 'W' KEY? (AKA THE K/D IS LIFE AWARD)","","","",""
"","","RIFLE #2","","","","","","","","","","","","",""
"","","","","","","","","","","","THE NINJA CAPOUT DECIDER (AKA THE LEO AWARD)","","","",""
"","","","","","","","","","","","BEST DODGER (AKA THE DBO AWARD)","","","",""
